X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,DISTRICT,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
1266393.97729869,176074.404866517,71,660104,598194,66,Station 28 - HQ,28 - HQ,900 SW 146th St,98166,2,E,added zip/moved to current location/QC'd,http://www.burienfire.org/stations-and-apparatus.html,1923049025,192304,9025
1235781.46470495,146309.067743763,72,660107,406315,66,Station 56,56,10330 SW Burton Dr,98070,13,E,moved to current location/QC'd,https://vifr.org/stations/,1822039125,182203,9125
1237154.18964978,138342.681773692,73,660108,406005,66,Station 58,58,26316 99th Ave SW,98070,13,E,moved to current location/QC'd,https://vifr.org/stations/,2051200261,205120,0261
1325686.0142262,138723.846037611,74,10000014,672353,66,Station 78,78,17820 SE 256th St,98042,KE,Y,"added manualy - new
",https://pugetsoundfire.org/about/fire-station-locations/fire-station-78/,2422059064,242205,9064
1327909.99993569,127291.679597527,75,660128,13,66,Station 93,93,18610 SE Covington Sawyer Rd,98042,44,E,"moved to current location/added city/zip/QC- changed city, zip from Auburn",https://www.mvfire.org/Facilities/Facility/Details/Station-93-2,0621069143,062106,9143
1269186.8749281,260719.656179354,76,660059,256668,66,Station 31,31,1319 N Northgate Way,98133,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,6300500315,630050,0315
1287718.49993828,175297.18758893,77,660012,599692,66,Station 52,52,5900 S 147th St,98168,TU,Y,added station manually/QC'd,https://pugetsoundfire.org/about/fire-station-locations/,3365901275,336590,1275
1304974.99987403,281006.968623027,78,660024,177502,66,Station 42,42,10726 Beardslee Blvd,98011,BO,Y,added station manually/QC'd,http://www.ci.bothell.wa.us/508/Fire-Stations,3067600050,306760,0050
1410177.75009802,163667.515638351,79,660026,22635,66,Station 88,88,43204 SE 172nd St,98045,38,Y,added station manually/QC- added district,http://www.eastsidefire-rescue.org/161/Fire-Stations,9407100520,940710,0520
1369800.30296594,192771.191026688,80,660089,90585,66,Station 74,74,8641 Preston Fall City Rd SE,98027,10,N,added zip/ location correct/QC - changed city from Preston,http://www.eastsidefire-rescue.org/sta74.htm,6893300640,689330,0640
1260244.25009686,256696.812519014,81,660144,252183,66,Station 35,35,8729 15th Ave NW,98117,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,3300700810,330070,0810
1267385.62492169,281950.093705267,82,660151,888157,66,Station 64,64,719 N 185th St,98133,4,Y,added station manually/QC'd,https://shorelinefire.com/contact/,7285900106,728590,0106
1329961.75009727,244945.921978861,83,660039,366703,66,Station 16,16,6502 185th Ave NE,98052,34,Y,added station manually/QC'd,https://www.redmond.gov/563/Station-Medic-Unit-Locator,7198950106,719895,0106
1343875.8751561,230739.890679687,84,660093,12215,66,Station 82,82,1851 228th Ave NE,98074,10,E,"changed station from 222, city from Redmond/added zip/moved to current location/QC'd",http://www.eastsidefire-rescue.org/161/Fire-Stations,2825069041,282506,9041
1294463.99989869,261726.968797266,85,660156,166161,66,Station 25,25,12033 76th Pl NE,98034,KI,Y,added station manually/QC- added district,https://www.kirklandwa.gov/Government/Departments/Fire-Department,6076500123,607650,0123
1325809.99987061,118221.796818689,86,660127,12,66,Station 92,92,31709 Kent Black Diamond Rd SE,98092,44,E,"moved to current location/added city, zip/QC- changed zip from 98002",https://www.mvfire.org/Facilities/Facility/Details/Station-92-1,0721069033,072106,9033
1302678.99987286,192210.999889851,87,10000103,,66,Station 15,15,1404 N 30th St,98056,RN,Y,added station manually/QC'd,https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,3342103245,334210,3245
1336194.5401251,178499.481053099,88,660097,1025863,66,Station 78,78,20720 SE May Valley Rd,98027,10,E,"station # from 231, city from Renton/add zip/move to current location/QC'd",http://www.eastsidefire-rescue.org/161/Fire-Stations,1723069103,172306,9103
1270699.7498551,222384.952993274,89,660042,450518,66,HQ,HQ,301 2nd Ave S,98104,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,5247800725,524780,0725
1260222.56706935,239061.391097024,90,660049,412793,66,Station 20,20,2800 15th Ave W,98119,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,2770603880,277060,3880
1381056.93629253,133685.687478766,91,660122,661999,66,Station 88 - HQ,88 - HQ,34803 SE 268th St,98051,47,Y,"added zip, city/moved to current location/QC'd, update address and name",https://kcfpd47.com/station-88-headquarters/,2622079028,262207,9028
1376727.76778552,119025.183991432,92,660123,802472,66,Station 89,89,33536 SE 309th St,98051,47,E,"unable to locate/QC- placed station correctly, added PIN, city, zip, change name",https://kcfpd47.com/station-89/,1021079140,102107,9140
1407841.57465227,179490.698886931,93,660025,988637,66,Station 87,87,500 Maloney Grove Ave SE,98045,38,Y,added station manually/QC'd,http://www.eastsidefire-rescue.org/161/Fire-Stations,1023089249,102308,9249
1265267.65507628,233936.789797693,94,660040,414203,66,Station 8,8,110 Lee St,98109,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,2127200025,212720,0025
1315338.25014485,116504.726433933,95,660129,716914,66,Station 95 - HQ,95 - HQ,32316 148th Ave SE,98092,44,E,"moved to current location/added city, zip/QC- changed zip from 98002",https://www.mvfire.org/Facilities/Facility/Details/Station-95-4,2152000078,215200,0078
1259570.63694277,242932.024103776,96,660032,423021,66,Station 3,3,1735 W Thurman St,98119,SE,Y,"NEW station; unsure location/QC'd - changed number from 23",https://www.seattle.gov/fire/about-us/fire-stations,7666200105,766620,0105
1333165.70431927,264368.455312192,97,660079,21177,66,Station 33,33,19401 NE 133rd St,98077,36,N,"added city, zip/location correct/QC'd",https://wf-r.org/,0625100025,062510,0025
1319107.25015278,180275.843642101,98,660099,573201,66,Station 16,16,12923 156th Ave SE,98059,RN,E,station # from 25/added zip/moved to current location/QC'd,https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,1423059095,142305,9095
1300600.12509361,233490.515755847,99,660005,109345,66,Station 5,5,9621 NE 24th St,98004,BE,Y,added station manually/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,8086000375,808600,0375
1307889.62495027,223126.234319106,100,660007,111225,66,Station 7,7,11900 SE 8th St,98005,BE,Y,added station manually/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,9399700960,939970,0960
1296964.75014652,200735.265649691,101,660010,187860,66,Station 92,92,8473 SE 68th St,98040,MI,Y,added station manually/QC'd,https://www.mercerisland.gov/fire/page/fire-ems-operations,3024059111,302405,9111
1345562.87506294,213298.73428911,102,660094,12216,66,Station 83,83,3425 Issaquah Pine Lake Rd SE,98027,10,E,"station # from 223/address from 3425 Pine Lake Rd SE, city from Issaquah/add zip/moved loc/QC'd",http://www.eastsidefire-rescue.org/161/Fire-Stations,1024069192,102406,9192
1259285.08600469,198435.602598101,103,660146,477688,66,Station 37,37,7700 35th Ave SW,98126,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,8122100070,812210,0070
1301589.50008336,256748.078164518,104,660153,28636,66,Station 21,21,9816 Forbes Creek Dr,98033,KI,Y,added station manually/QC'd,https://www.kirklandwa.gov/Government/Departments/Fire-Department,3126059037,312605,9037
1310018.12495835,254282.703174025,105,660157,29938,66,Station 26,26,9930 124th Ave NE,98033,KI,Y,added station manually/QC'd,https://www.kirklandwa.gov/Government/Departments/Fire-Department,6741700020,674170,0020
1279711.87487544,213366.343733937,106,660058,476135,66,Station 30,30,2931 S Mt Baker Blvd,98144,SE,Y,added station manually/QC- changed location,https://www.seattle.gov/fire/about-us/fire-stations,0003600035,000360,0035
1304994.12516385,142117.812346771,107,660020,633824,66,Station 74 - HQ,74 - HQ,24611 116th Ave SE,98031,KE,Y,added station manually/QC'd,https://pugetsoundfire.org/about/fire-station-locations/fire-station-74/,2022059126,202205,9126
1307780.74787144,186578.269029349,108,660034,588546,66,Station 12,12,1209 Kirkland Ave NE,98056,RN,Y,"added station manually/QC'd - NEW location, changed address",https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,7227801450,722780,1450
1266895.99991669,242098.578264102,109,660041,319994,66,Station 9,9,3829 Linden Ave N,98103,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,1972201405,197220,1405
1343975.76406394,254779.871142939,110,10000015,355693,66,Station 18,18,22710 NE Alder Crest Dr,98053,34,E,Relocated former St. 15 new,https://www.redmond.gov/563/Station-Medic-Unit-Locator,1525069017,152506,9017
1271609.67323211,222905.513960019,111,10000016,969817,66,Station 10,10,400 S Washington St,98104,SE,Y,added manually - new,https://www.seattle.gov/fire/about-us/fire-stations,5247801465,524780,1465
1349833.37505211,114928.906094775,112,660124,638053,66,Station 99,99,25313 Baker St,98010,17,E,moved to current location/QC- changed station # from 171,http://www.oldblackdiamondwebsite.com/Depts/Fire/fire_home.html,0844000810,084400,0810
1378330.50014436,209039.671941102,113,660139,2353,66,Station 271,271,4301 334th Pl SE,98024,27,N,in correct position/QC'd,https://www.king27fire.com/,0943100422,094310,0422
1301645.62497111,178408.749935359,114,660159,579405,66,Station 11,11,211 Mill Ave S,98055,RN,Y,added station manually/QC- changed address from 311,https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,7231500960,723150,0960
1282654.62489544,186052.640487432,115,660013,745130,66,Station 53,53,4202 S 115th St,98168,TU,Y,added station manually/QC'd,https://pugetsoundfire.org/about/fire-station-locations/,3351400825,335140,0825
1263137.87488702,212032.078029767,116,660145,465144,66,Station 36,36,3600 23rd Ave SW,98106,SE,Y,added station mnaually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,1324039040,132403,9040
1256582.12487519,217044.547007442,117,660057,456040,66,Station 29,29,2139 Ferry Ave SW,98116,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,9274200920,927420,0920
1338071.3749541,132377.078219354,118,660132,661065,66,Station 83,83,27250 216th Ave SE,98038,43,N,moved to current location/QC'd,https://pugetsoundfire.org/about/fire-station-locations/fire-station-83/,3322069064,332206,9064
1356022.50014102,239905.453057185,119,660088,355218,66,Station 14,14,5021 264th Ave NE,98053,34,E,changed address from 5050/added zip/moved to current location/QC'd,https://www.redmond.gov/563/Station-Medic-Unit-Locator,1325069082,132506,9082
1293010.74985243,182428.203182518,120,660101,506964,66,Station 22,22,12417 76th Ave S,98178,20,E,added zip/moved to current location/QC'd,https://www.king20fire.org/,0231000020,023100,0020
1272517.2501571,195683.656330347,121,660054,510768,66,Station 26,26,800 S Cloverdale St,98108,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,7883604285,788360,4285
1295112.24991453,119091.203216359,122,660065,707373,66,Station 31 - HQ,31 - HQ,1101 D St NE,98002,AU,Y,new to firestn added 3/12/03,https://www.vrfa.org/contact/,7459920010,745992,0010
1274930.12492453,246167.687579945,140,660047,335005,66,Station 17,17,1050 NE 50th St,98105,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,6746701655,674670,1655
1273409.14732344,134589.760801852,141,660113,389966,66,Station 66,66,27010 15th Ave S,98198,39,E,station # from 6/added zip/moved to current location/QC'd,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-66-9,9536602015,953660,2015
1358280.99988911,153712.859366611,142,660133,617752,66,Station 85,85,27605 SE 208th St,98038,43,E,moved to current location/QC'd,http://www.maplevalleyfire.org/stations/station_85.htm,0722079123,072207,9123
1267806.12506494,119801.179814771,143,660022,709431,66,Station 62,62,31617 1st Ave S,98003,39,Y,added station manually/QC- added district,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-62-5,0721049210,072104,9210
1285747.87494253,191476.718878105,144,660061,514671,66,Station 33,33,9645 Renton Ave S,98118,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,7131300008,713130,0008
1355735.1250596,172054.968679681,145,660091,198317,66,Station 76,76,15132 Tiger Mountain Rd SE,98027,10,E,changed city from Issaquah/added zip/moved to current location/QC - changed city from Mirrormont,http://www.eastsidefire-rescue.org/161/Fire-Stations,2423069144,242306,9144
1338615.49985011,218029.187426597,146,660092,12214,66,Station 81,81,2030 212th Ave Se,98075,10,E,"changed station # from 221, city from Issaquah/added zip/moved to curent location/QC'd",http://www.eastsidefire-rescue.org/161/Fire-Stations,0424069144,042406,9144
1259610.00005302,284849.906147107,147,660074,142710,66,Station 62,62,1851 NW 195th St,98177,4,E,INACTIVE/address from 1847 NW 195th/QC-Changed address from 1735 NW 193rd (called district)-inactive,https://shorelinefire.com/contact/,0226039142,022603,9142
1269383.62486269,164798.296841353,148,660105,606537,66,Station 29,29,135 S Normandy  Rd,98148,2,E,added zip/address from 151 S Normandy Rd/moved to current location/QC'd,http://www.burienfire.org/stations-and-apparatus.html,3223049165,322304,9165
1304118.97369894,95387.3792330176,149,660160,980562,66,Station 33,33,500 182nd Ave E,98391,AU,Y,added manually - new,https://www.vrfa.org/contact/,0000000000,000000,0000
1496583.29316586,155560.086643264,150,10000007,24500,66,Station 291,291,69802 SE Snoqualmie Pass Summit Rd,98065,51,Y,"new to firestn added 3/12/03
",https://www.snoqualmiepassfirerescue.org/,0422119001,042211,9001
1391960.10444677,196741.014451861,151,10000010,194362,66,Station 281,281,37600 SE Snoqualmie Parkway,98065,SN,Y,"added station manually/QC'd
",https://www.snoqualmiewa.gov/166/Fire,7849202040,784920,2040
1295667.41087769,291632.774471104,152,10000012,722735,66,Station 44,44,330 228th St SW,98021,BO,Y,"added manually
",http://www.ci.bothell.wa.us/508/Fire-Stations,0000000000,000000,0000
1301484.46059528,294807.873763934,153,10000013,724020,66,Station 45,45,1608 217th Pl SE,98021,BO,Y,"added manually
",http://www.ci.bothell.wa.us/508/Fire-Stations,0000000000,000000,0000
1337090.82540603,200370.041642606,154,660161,985842,66,Station 72,72,1575 NW Maple St,98027,10,Y,added manually - new,http://www.eastsidefire-rescue.org/161/Fire-Stations,2924069168,292406,9168
1261559.12509178,113930.148577854,155,660023,708590,66,Station 63,63,33414 21st Ave SW,98023,39,Y,added station manually/QC- added district,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-63-6,1321039062,132103,9062
1345777.49996178,135211.671959609,156,660029,672899,66,Station 80,80,23775 SE 264th St,98038,43,Y,added station manually/QC- added district,https://pugetsoundfire.org/about/fire-station-locations/fire-station-80/,8081300060,808130,0060
